"Date","Android","iOS","Samsung","Windows","Linux","Unknown","Nokia Unknown","Series 40","Other"
2020-09,72.86,26.67,0.27,0.07,0.06,0.02,0.02,0.01,0.02
2020-10,67.81,31.77,0.25,0.06,0.04,0.01,0.01,0.01,0.02
2020-11,68.2,31.42,0.25,0.05,0.02,0.02,0.01,0.01,0.02
2020-12,68.33,31.31,0.24,0.04,0.01,0.02,0.01,0.01,0.02
2021-01,68.52,31.01,0.37,0.04,0.01,0.02,0.01,0.01,0.01
2021-02,68.05,31.14,0.7,0.04,0.01,0.02,0.01,0.01,0.02
2021-03,68.82,30.41,0.65,0.03,0.02,0.02,0.02,0.01,0.02
2021-04,68.82,30.39,0.66,0.06,0.01,0.02,0.02,0.01,0.02
2021-05,68.43,30.83,0.62,0.04,0.01,0.02,0.02,0.01,0.02
2021-06,69.15,30.1,0.63,0.05,0.02,0.02,0.02,0.01,0.02
2021-07,68.44,30.82,0.63,0.04,0.01,0.02,0.01,0.01,0.02
2021-08,69.29,30.02,0.59,0.03,0.01,0.02,0.01,0.01,0.02
2021-09,67.13,32.16,0.59,0.03,0.02,0.01,0.01,0.01,0.02
