"Date","Android","iOS","Samsung","Windows","Unknown","Series 40","Other"
2020-09,88.38,11.35,0.15,0.05,0.02,0.01,0.03
2020-10,87.59,12.14,0.16,0.04,0.02,0.02,0.03
2020-11,88.62,11.07,0.19,0.05,0.02,0.02,0.04
2020-12,88.73,10.97,0.2,0.04,0.02,0.02,0.03
2021-01,88.81,10.91,0.2,0.03,0.02,0.01,0.03
2021-02,88.6,11.08,0.24,0.03,0.02,0.01,0.03
2021-03,88.74,10.93,0.24,0.03,0.02,0.01,0.03
2021-04,88.76,10.93,0.23,0.03,0.01,0.01,0.03
2021-05,88.99,10.7,0.23,0.03,0.01,0.01,0.03
2021-06,88.77,10.9,0.26,0.03,0.01,0.01,0.02
2021-07,88.4,11.28,0.25,0.02,0.01,0.02,0.03
2021-08,89.04,10.66,0.22,0.02,0.01,0.01,0.04
2021-09,88.98,10.72,0.23,0.02,0.01,0.01,0.02
